Country Name,Year,Average_Temperature_C
Brazil,2010,25.1
Brazil,2011,25.2
Brazil,2012,25.4
Brazil,2013,25.3
Brazil,2014,25.6
Brazil,2015,25.7
Brazil,2016,25.9
Brazil,2017,25.8
Brazil,2018,26.1
Brazil,2019,26.3
Brazil,2020,26.4
Brazil,2021,26.2
Brazil,2022,26.5
Brazil,2023,26.6
Canada,2010,-5.1
Canada,2011,-4.9
Canada,2012,-4.7
Canada,2013,-4.8
Canada,2014,-4.5
Canada,2015,-4.4
Canada,2016,-4.2
Canada,2017,-4.3
Canada,2018,-4.0
Canada,2019,-3.8
Canada,2020,-3.7
Canada,2021,-3.9
Canada,2022,-3.6
Canada,2023,-3.5
Japan,2010,14.5
Japan,2011,14.6
Japan,2012,14.8
Japan,2013,14.7
Japan,2014,14.9
Japan,2015,15.1
Japan,2016,15.2
Japan,2017,15.3
Japan,2018,15.5
Japan,2019,15.6
Japan,2020,15.7
Japan,2021,15.9
Japan,2022,16.0
Japan,2023,16.2
Australia,2010,21.5
Australia,2011,21.6
Australia,2012,21.8
Australia,2013,21.7
Australia,2014,21.9
Australia,2015,22.1
Australia,2016,22.3
Australia,2017,22.4
Australia,2018,22.6
Australia,2019,22.8
Australia,2020,22.9
Australia,2021,23.1
Australia,2022,23.3
Australia,2023,23.5
Egypt,2010,22.1
Egypt,2011,22.2
Egypt,2012,22.4
Egypt,2013,22.3
Egypt,2014,22.5
Egypt,2015,22.7
Egypt,2016,22.8
Egypt,2017,22.9
Egypt,2018,23.1
Egypt,2019,23.2
Egypt,2020,23.4
Egypt,2021,23.6
Egypt,2022,23.8
Egypt,2023,24.0
